class	delta_P	delta_R	delta_mAP50	delta_mAP50_95
all	0.0007176932221215626	0.000917547254105866	0.0006759690278267394	0.00033349840961377497
helmet	-0.0011383066851043955	0.0001210628149490578	0.003058681323536927	0.0004130093555809178
person	0.0013060577062916634	0.0	0.00029884211922015513	0.0007163569774795153
vest	0.001985328645177087	0.0026315789473684292	-0.001329616359276753	-0.00012887110421927472
