mode	class	P	R	mAP50	mAP50_95
refined	all	0.9185372332166531	0.8302284243308701	0.9007097509059921	0.49684638358224226
refined	person	0.9334733832415557	0.8995983935742972	0.9429984625758865	0.5851428093497406
refined	helmet	0.9176584095072287	0.8042447741551553	0.8818608907286554	0.451609564075335
refined	vest	0.9044799069011746	0.7868421052631579	0.8772698994134349	0.45378677732165107
coarse_only	all	0.9178195399945316	0.8293108770767642	0.9000337818781654	0.4965128851726285
coarse_only	person	0.932167325535264	0.8995983935742972	0.9426996204566663	0.5844264523722611
coarse_only	helmet	0.918796716192333	0.8041237113402062	0.8788022094051184	0.45119655471975406
coarse_only	vest	0.9024945782559975	0.7842105263157895	0.8785995157727117	0.45391564842587034
