class	delta_P	delta_R	delta_mAP50	delta_mAP50_95
all	0.001263852984953795	0.0008979259372084991	0.0018359631233038076	0.0014035119897508608
helmet	0.004473439552408309	0.0016281695603386215	0.003859190313580396	0.0038376472088310076
person	-0.002499474084491804	0.0006496285885144726	7.718882198126664e-05	0.0008049930346016865
vest	0.0018175934869448795	0.0004159796627725143	0.0015715102343504261	-0.00043210427417994524
