mode	class	P	R	mAP50	mAP50_95
refined	all	0.9136838466307889	0.8443496182321244	0.9053099893533393	0.5028518966723383
refined	person	0.903676947154469	0.9042640864198398	0.9466242219490134	0.5914628483752964
refined	helmet	0.9297185324168328	0.8182584524870599	0.8906393644041599	0.44879039286268824
refined	vest	0.907656060321065	0.8105263157894737	0.878666381706845	0.4683024487790301
coarse_only	all	0.9124199936458351	0.8434516922949159	0.9034740262300355	0.5014483846825875
coarse_only	person	0.9061764212389608	0.9036144578313253	0.9465470331270321	0.5906578553406947
coarse_only	helmet	0.9252450928644245	0.8166302829267212	0.8867801740905795	0.44495274565385723
coarse_only	vest	0.9058384668341202	0.8101103361267011	0.8770948714724945	0.46873455305321005
