module	stage	rho	mu_max	release_ratio	recursion	a_final	a_init	delta_a	sigmoid_a_final	effective_mu_final	effective_mu_init_reference	mu_ratio_vs_init
model.2	2	1.0	0.15	1.0	1	-2.759765625	-3.0	0.240234375	0.05953748792856608	0.008930623189284911	0.007113880976635017	1.25537990003162
model.4	2	1.0	0.15	1.0	1	-2.7421875	-3.0	0.2578125	0.06052939020253899	0.009079408530380847	0.007113880976635017	1.2762946920536695
model.4	2	1.0	0.15	1.0	2	-2.76171875	-3.0	0.23828125	0.0594282210736403	0.008914233161046045	0.007113880976635017	1.253075949727602
model.6	2	1.0	0.15	1.0	1	-2.748046875	-3.0	0.251953125	0.060197050160538924	0.009029557524080838	0.007113880976635017	1.2692871238270236
model.6	2	1.0	0.15	1.0	2	-2.763671875	-3.0	0.236328125	0.05931914210343721	0.00889787131551558	0.007113880976635017	1.2507759610738414
