model	module_order	module_name	module_class	branch_index	branch_channel	raw_weight	relu_weight	normalized_weight	uniform_reference	delta_from_uniform	relative_delta_vs_uniform_pct	rank_desc	epsilon
SMFR-YOLO	1	model.14	BiFPNF	1	64	1.0078125	1.0078125	0.5369120836257935	0.5	0.03691208362579346	7.382416725158691	1	0.0001
SMFR-YOLO	1	model.14	BiFPNF	2	64	0.869140625	0.869140625	0.46303462982177734	0.5	-0.036965370178222656	-7.393074035644531	2	0.0001
SMFR-YOLO	2	model.17	BiFPNF	1	64	1.09765625	1.09765625	0.5926387310028076	0.5	0.09263873100280762	18.527746200561523	1	0.0001
SMFR-YOLO	2	model.17	BiFPNF	2	64	0.75439453125	0.75439453125	0.40730729699134827	0.5	-0.09269270300865173	-18.538540601730347	2	0.0001
SMFR-YOLO	3	model.20	BiFPNF	1	64	0.74658203125	0.74658203125	0.2867482006549835	0.3333333333333333	-0.046585132678349794	-13.975539803504939	2	0.0001
SMFR-YOLO	3	model.20	BiFPNF	2	64	0.50244140625	0.50244140625	0.19297833740711212	0.3333333333333333	-0.1403549959262212	-42.106498777866356	3	0.0001
SMFR-YOLO	3	model.20	BiFPNF	3	64	1.3544921875	1.3544921875	0.5202351212501526	0.3333333333333333	0.18690178791681927	56.07053637504579	1	0.0001
SMFR-YOLO	4	model.23	BiFPNF	1	64	1.1162109375	1.1162109375	0.42370960116386414	0.3333333333333333	0.09037626783053082	27.112880349159248	1	0.0001
SMFR-YOLO	4	model.23	BiFPNF	2	64	0.47412109375	0.47412109375	0.17997464537620544	0.3333333333333333	-0.15335868795712787	-46.00760638713836	3	0.0001
SMFR-YOLO	4	model.23	BiFPNF	3	64	1.0439453125	1.0439453125	0.39627784490585327	0.3333333333333333	0.06294451157251996	18.88335347175599	2	0.0001
SMFR-YOLO	5	model.26	BiFPNF	1	64	1.025390625	1.025390625	0.5646368265151978	0.5	0.06463682651519775	12.92736530303955	1	0.0001
SMFR-YOLO	5	model.26	BiFPNF	2	64	0.79052734375	0.79052734375	0.4353080987930298	0.5	-0.06469190120697021	-12.938380241394043	2	0.0001
