class	delta_P	delta_R	delta_mAP50	delta_mAP50_95
all	0.03311632879195936	0.05380783799987998	0.033872613854785794	0.02850332176805681
helmet	0.02227021256934303	0.07026447936589175	0.033216845198899225	0.025421016926655327
person	0.044929758589027036	0.022737982002169144	0.015733379589248253	0.010049124171031432
vest	0.032149015217508126	0.06842105263157894	0.052667616776210346	0.05003982420648301
