split	scope	total_instances	small_count	medium_count	large_count	small_ratio	medium_ratio	large_ratio
val	all	1363	688	302	373	0.5047688921496698	0.2215700660308144	0.2736610418195158
val	person	498	140	143	215	0.28112449799196787	0.28714859437751006	0.43172690763052207
val	helmet	485	307	109	69	0.6329896907216495	0.22474226804123712	0.1422680412371134
val	vest	380	241	50	89	0.6342105263157894	0.13157894736842105	0.23421052631578948
test	all	1326	697	303	326	0.5256410256410257	0.22850678733031674	0.2458521870286576
test	person	493	158	137	198	0.3204868154158215	0.2778904665314402	0.40162271805273836
test	helmet	449	294	116	39	0.6547884187082406	0.2583518930957684	0.08685968819599109
test	vest	384	245	50	89	0.6380208333333334	0.13020833333333334	0.23177083333333334
