split	scope	AP50_delta	AP75_delta	AP80_delta	AP85_delta	AP90_delta	AP50_95_delta
val	all	0.025453851375993097	0.01874820745619682	0.006440066042710246	-0.0007182559452511561	0.0005962269986673902	0.021045711906521825
val	person	0.013665587789260969	0.015053928684677365	0.01648245725741787	0.007447994470896835	0.006681442421153802	0.013883764587232394
val	helmet	0.016430930877457284	0.04336251801722446	0.013357971748720582	-0.004929020281276973	0.0010383310630871535	0.019589000853659777
val	vest	0.04626503546126115	-0.002171824333311645	-0.010520230878007575	-0.004673742025373365	-0.005931092488238806	0.029664370278673413
test	all	0.0320501822530731	0.0009871556709414309	-0.0003950896977347462	0.010069155402584018	0.002272399039229338	0.01828790234950045
test	person	0.005174237319980568	0.005569794914360826	-0.01063992071725628	0.005061453860034343	-0.005116165702723358	0.006522922728734892
test	helmet	0.03726668605270089	-0.024900410349363578	-0.013926430270581644	0.010378140666136244	0.0004152481278028135	0.023328691237311905
test	vest	0.0537096233865374	0.022292082447826933	0.0233810818946337	0.014767871681581425	0.011518114692608557	0.025012093082454334
