split	scope	AP50_95_delta	APs_delta	APm_delta	APl_delta	ARs_delta	ARm_delta	ARl_delta
val	all	0.021045711906521825	0.03327228393303211	0.007351724473017129	-0.004543093986208446	0.042171124657034376	-0.0023050832959090606	0.010616203961428261
val	person	0.013883764587232394	0.022293455779144322	0.012541397913141239	0.004148253745986263	0.03500000000000003	0.006993006993006867	0.017209302325581377
val	helmet	0.019589000853659777	0.034859001753789254	0.008271799325133111	-0.020767552481565033	0.04462540716612379	0.010091743119266083	0.010144927536231862
val	vest	0.029664370278673413	0.04266439426616275	0.0012419761807773155	0.0029900167769535413	0.04688796680497925	-0.02400000000000002	0.004494382022471988
test	all	0.01828790234950045	0.03158364221699389	0.024139702509422878	-0.008202068767535597	0.026759091822382897	0.012193640406074402	0.006746665735429924
test	person	0.006522922728734892	0.02484491809510614	0.011895897612200668	-0.004965312408443889	0.012658227848101222	0.008029197080292039	0.0005050505050506748
test	helmet	0.023328691237311905	0.03459882626118066	0.00699540916100172	-0.014821164388871932	0.037414965986394544	-0.0034482758620688614	0.00512820512820511
test	vest	0.025012093082454334	0.03530718229469493	0.053527800755066024	-0.004819729505290582	0.030204081632653146	0.03199999999999992	0.014606741573033655
