public_id	gt_instances	gt_person	gt_helmet	gt_vest	yolov8n_ap50	smfr_yolo_ap50	paired_delta	valid_pair
rf100_v2_001167	9	3	3	3	0.971947194719472	0.9075907590759076	-0.06435643564356441	YES
rf100_v2_001168	3	1	1	1	0.6666666666666665	0.7037037037037036	0.03703703703703709	YES
rf100_v2_001169	2	1	1	0	0.9999999999999999	0.9999999999999999	0.0	YES
rf100_v2_001170	8	4	4	0	0.8762376237623762	0.7318481848184818	-0.14438943894389444	YES
rf100_v2_001171	3	2	1	0	1.0	1.0	0.0	YES
rf100_v2_001172	21	7	7	7	0.9174328147100423	0.9709970997099711	0.05356428499992871	YES
rf100_v2_001173	3	2	1	0	1.0	1.0	0.0	YES
rf100_v2_001174	7	5	2	0	0.900990099009901	0.801980198019802	-0.09900990099009899	YES
rf100_v2_001175	6	2	2	2	1.0	1.0	0.0	YES
rf100_v2_001176	2	1	1	0	0.9999999999999999	0.9999999999999999	0.0	YES
rf100_v2_001177	5	2	2	1	1.0	1.0	0.0	YES
rf100_v2_001178	4	2	2	0	1.0	1.0	0.0	YES
rf100_v2_001179	7	3	2	2	1.0	1.0	0.0	YES
rf100_v2_001180	5	3	2	0	0.9326732673267326	1.0	0.06732673267326739	YES
rf100_v2_001181	9	3	3	3	0.955115511551155	0.8877887788778878	-0.06732673267326728	YES
rf100_v2_001182	15	5	5	5	1.0	1.0	0.0	YES
rf100_v2_001183	21	9	11	1	0.9877218491079877	0.9909621731403909	0.0032403240324032634	YES
rf100_v2_001184	3	2	1	0	1.0	1.0	0.0	YES
rf100_v2_001185	8	4	0	4	0.9257425742574258	0.9587458745874589	0.03300330033003307	YES
rf100_v2_001186	8	3	3	2	1.0	1.0	0.0	YES
rf100_v2_001187	9	3	3	3	0.7788778877887789	0.7788778877887789	0.0	YES
rf100_v2_001188	36	11	13	12	0.9695354150799695	0.9957567185289958	0.02622130344902629	YES
rf100_v2_001189	6	2	2	2	1.0	1.0	0.0	YES
rf100_v2_001190	4	2	1	1	0.944994499449945	1.0	0.05500550055005504	YES
rf100_v2_001191	7	3	3	1	1.0	1.0	0.0	YES
rf100_v2_001192	6	2	2	2	1.0	1.0	0.0	YES
rf100_v2_001193	6	2	2	2	1.0	1.0	0.0	YES
rf100_v2_001194	3	1	1	1	0.8333333333333331	0.8333333333333331	0.0	YES
rf100_v2_001195	6	0	3	3	1.0	1.0	0.0	YES
rf100_v2_001196	9	3	3	3	0.8877887788778878	0.8877887788778878	0.0	YES
rf100_v2_001197	10	5	5	0	0.79019330504479	0.9834983498349836	0.19330504479019361	YES
rf100_v2_001198	6	2	2	2	0.9449944994499451	0.8184818481848185	-0.12651265126512656	YES
rf100_v2_001199	14	7	7	0	0.7758132956152757	0.8649222065063649	0.08910891089108919	YES
rf100_v2_001200	13	6	5	2	0.9499449944994499	0.8536853685368535	-0.0962596259625964	YES
rf100_v2_001201	5	2	2	1	1.0	0.8333333333333334	-0.16666666666666663	YES
rf100_v2_001202	3	0	1	2	0.75	0.8349834983498348	0.08498349834983476	YES
rf100_v2_001203	12	5	3	4	0.7564356435643564	0.9051155115511551	0.14867986798679866	YES
rf100_v2_001204	9	3	3	3	1.0	0.971947194719472	-0.028052805280528004	YES
rf100_v2_001205	9	4	4	1	0.6914614538376914	0.7524752475247525	0.06101379368706106	YES
rf100_v2_001206	11	3	4	4	0.9422442244224423	0.9174917491749175	-0.024752475247524774	YES
